Token Mint Address,Wallet Address,Amount
7SGrxHJFwNcsjkeu5WqZZKpB1b8LayWZLtrEEtBYhLjW,CqHtBv8b3jjDtcXbTjLJUia7J8dRhRaDsj5cqc91NmJi,1000.0
7SGrxHJFwNcsjkeu5WqZZKpB1b8LayWZLtrEEtBYhLjW,AT9BDNjJoQzoqQfxi5svrRYfzhYLk8gtcERd2DU7c8eK,1000.0
